Herat,+93-40
Sofia,+359-2
Stara Zagora,+359-42
Targovishte,+359-601
Varna,+359-52
Veliko Tarnovo,+359-62
Vidin,+359-94
Vratsa,+359-92
Yambol,+359-46
Banfora,+226-88XXXX
Dédougou,+226-52XXXX
Diébougou,+226-86XXXX
Dori,+226-66XXXX
Fada,+226-77XXXX
Gaoua,+226-87XXXX
Kantchari,+226-79XXXX
Kaya,+226-45XXXX+226-49XXXX
Koudougou,+226-44XXXX
Koupéla,+226-70XXXX
Orodara,+226-96XXXX
Ouagadougou,+226-30XXXX – 38XXXX
Ouahigouya,+226-55XXXX+226-56XXXX
Tenkodogo,+226-71XXXX
Tougan,+226-53XXXX+226-54XXXX
,Burundi does not use city codes.
Banteay Meanchey,+855-54
Battambang,+855-53
Kampong Cham,+855-42
Kampong Chhnang,+855-26
Kampong Speu,+855-25
Kampong Thom,+855-62
Kampot,+855-33
Kandal,+855-24
Kep,+855-36
Koh Kong,+855-35
Kratie,+855-72
Mobile Phones - CamGSM,+855-12
Mobile Phones - Camshin,+855-11
Mobile Phones - Camtel AMPS,+855-18
Mobile Phones - Casacom,+855-15+855-16
Mondolkiri,+855-73
Pailin,+855-55
Phnom Penh,+855-23
Preah Vihear,+855-64
Prey Veng,+855-43
Pursat,+855-52
Ratanakiri,+855-75
Siem Riep,+855-63
Sihanoukville,+855-34
Stung Treng,+855-74
Svay Rieng,+855-44
Takeo,+855-32
Udar Meanchey,+855-65
,Cameroon does not use city codes.
Alberta,+1-587
Calgary,+1-587
Calgary,+1-403
Edmonton,+1-780
Gatineau,+1-819
Halifax,+1-902
London,+1-226
London,+1-519
Mississauga,+1-289
Mississauga,+1-905
Montreal,+1-438
Montreal,+1-514
Ottawa,+1-343
Ottawa,+1-613
Quebec City,+1-418
Quebec City,+1-581
Saskatoon,+1-306
Sault Ste. Marie,+1-705
Sault Ste. Marie,+1-249
Specialized Telecom Services,+1-600
St. John,+1-506
St. John's,+1-709
Terrebone,+1-450
Terrebone,+1-579
Thunber Bay,+1-807
Toronto,+1-647
Toronto,+1-416
Vancouver,+1-236
Vancouver,+1-778
Vancouver,+1-604
Victoria,+1-250
Winnipeg,+1-204
Yellowknife,+1-867
,Cape Verde does not use city codes.
,The Cayman Islands do not use city codes.
,The Central African Republic does not use city codes.
Moudou,+235-69 plus four-digit n
N'djamena,+235-51 plus four-digit n 
Antofagasta,+56-55
Arica,+56-58
Calama,+56-55
Chillán,+56-42
Concepción,+56-41
Copiacó,+56-52
Coquimbo,+56-51
Coyhaique,+56-67
Curicó,+56-75
Iquique,+56-57
La Serena,+56-51
Linares,+56-73
Los Andes,+56-34
Los Angeles,+56-43
Osorno,+56-64
Ovalle,+56-53
Puerto Montt,+56-65
Punta Arenas,+56-61
Quillota,+56-33
Rancagua,+56-72
San Antonio,+56-35
San Felipe,+56-34
San Fernando,+56-72
Santiago (Metropolitan Region),+56-2
Talca,+56-71
Talcahuano,+56-41
Temuco,+56-45
Valdivia,+56-63
Valparaíso,+56-32
Viña del Mar,+56-32
Akesu - Xinjiang,+86-997
Ankang - Shaanxi,+86-915
Anqing - Anhui,+86-556
Anqiu - Shandong,+86-5467
Anshun - Guizhou,+86-853
Antu - Jilin,+86-4434
Anxi - Gansu,+86-9472
Anyang - Henan,+86-372
Atushi - Xinjiang,+86-9081
Baicheng - Jilin,+86-436
Baise - Guangxi,+86-776
Bama - Guangxi,+86-7808
Baodin - Hebei,+86-312
Baoji - Shaanxi,+86-917
Baotou - Nei Mongol,+86-472
Bazhong - Sichuan,+86-8279
Beihai - Guangxi,+86-779
Beijing - Beijing,+86-10
Beipiao - Liaoning,+86-421
Bengbu - Anhui,+86-552
Benxi - Liaoning,+86-414
Bole - Xinjiang,+86-9093
Cangwu - Guangxi,+86-774
Chang-an - Shaanxi,+86-29
Changbai - Jilin,+86-4458
Changchun - Jilin,+86-431
Changde - Hunan,+86-736
Changdu - Xizang (Tibet),+86-895
Changfeng - Anhui,+86-551
Changji - Xinjiang,+86-994
Changle - Fujian,+86-591
Changsha - Hunan,+86-731
Changshu - Jiangsu,+86-512
Changye - Shanxi,+86-355
Changzhou - Jiangsu,+86-519
Chaozhou - Guangdong,+86-7681
Chengde - Hebei,+86-314
Chengdu - Sichuan,+86-28
Chifeng - Nei Mongol,+86-476
Chongqing - Chongqing,+86-23
Chuxiong - Yunnan,+86-878
Cixi - Zhejiang,+86-574
Conghua - Guangdong,+86-20
Da-tong - Qinghai,+86-971
Dali - Yunnan,+86-872
Dalian - Liaoning,+86-411
Dandong - Liaoning,+86-415
Danyang - Jiangsu,+86-5211
Daqing - Heilongjiang,+86-459
Datong - Shanxi,+86-352
Dezhou - Shandong,+86-534
Dinxi - Gansu,+86-932
Dinyuan - Anhui,+86-5604
Dongfang - Hainan,+86-8003
Dongwan - Guangdong,+86-7620
Dongyang - Zhejiang,+86-579
Dujiangyan - Sichuan,+86-8236
Dunhua - Jilin,+86-4435
Dunhuang - Gansu,+86-9473
Erlianhaote - Nei Mongol,+86-4813
Erlunchun - Nei Mongol,+86-4803
Ezhou - Hubei,+86-711
Fanyu - Guangdong,+86-20
Fenghua - Zhejiang,+86-574
Fenghuang - Hunan,+86-7480
Fengzhen - Nei Mongol,+86-4841
Fenjie - Sichuan,+86-8286
Fenqiu - Henan,+86-3836
Fenyang - Shanxi,+86-3602
Foshan - Guangdong,+86-757
Fu-an - Fujian,+86-593
Fu-zhou - Jiangxi,+86-794
Fumin - Yunnan,+86-871
Fuopin - Shaanxi,+86-9263
Fushun - Liaoning,+86-413
Fuxin - Liaoning,+86-418
Fuyang - Zhejiang,+86-571
Fuzhou - Fujian,+86-591
Ganzhou - Jiangxi,+86-797
Gao-an - Jiangxi,+86-7056
Gaoyou - Jiangsu,+86-5247
Gejiu - Yunnan,+86-873
Germu - Qinghai,+86-979
Guang-an - Sichuan,+86-8269
Guangling - Shanxi,+86-3627
Guangning - Guangdong,+86-758
Guangzhou - Guangdong,+86-20
Guilin - Guangxi,+86-773
Guiyang - Guizhou,+86-851
Gulang - Gansu,+86-9453
Guliu - Xinjiang,+86-9097
Gutian - Fujian,+86-593
Guyang - Neimengu,+86-4823
Guyuan - Ningxia,+86-954
Haifeng - Guangdong,+86-7647
Haikou - Hainan,+86-898
Hailar - Nei Mongol,+86-470
Hailun - Heilongjiang,+86-4652
Haimen - Jiangsu,+86-5231
Haiyan - Zhejiang,+86-573
Hami - Xinjiang,+86-9022
Handan - Hebei,+86-310
Hangzhou - Zhejiang,+86-571
Hanning - Zhejiang,+86-573
Hanyang - Hubei,+86-7212
Hanzhong - Shaanxi,+86-916
Harbin - Heilongjiang,+86-451
Hechi - Guangxi,+86-778
Hefei - Anhui,+86-551
Hegang - Heilongjiang,+86-4618
Heishan - Liaoning,+86-416
Helan - Ningxia,+86-951
Hengyang - Hunan,+86-734
Henshan - Hunan,+86-7446
Heshuo - Xinjiang,+86-996
Hetian - Xinjiang,+86-9032
Heze - Shandong,+86-530
Hohhot - Nei Mongol,+86-471
Houma - Shanxi,+86-3651
Huachi - Gansu,+86-9447
Huai-an - Jiangsu,+86-517
Huaihua - Hunan,+86-7402
Huaiyuan - Anhui,+86-552
Huanglin - Shaanxi,+86-911
Huangmei - Hubei,+86-7238
Huangshanshi - Anhui,+86-559
Huangshi - Hubei,+86-714
Huangyan - Zhejiang,+86-576
Huaxian - Guangdong,+86-20
Huayin - Shaanxi,+86-9231
Hui-an - Fujian,+86-595
Huizhou - Guangdong,+86-752
Hunchun - Jilin,+86-4437
Hunjiang - Jilin,+86-439
Huocheng - Xinjiang,+86-9091
Huzhou - Zhejiang,+86-572
Ji-an - Jiangxi,+86-796
Ji-lin - Jilin,+86-432
Ji-ning - Nei Mongol,+86-474
Jiamusi - Heilongjiang,+86-454
Jiangdu - Jiangsu,+86-5244
Jiangjin - Sichuan,+86-8221
Jiangling - Hubei,+86-716
Jiangmen - Guangdong,+86-750
Jiangyin - Jiangsu,+86-5217
Jiangyou - Sichuan,+86-8244
JianOu - Fujian,+86-599
Jiaozhou - Shandong,+86-5422
Jiaozuo - Henan,+86-391
Jiaxin - Zhejiang,+86-573
Jiayuguan - Gansu,+86-9477
Jinan - Shandong,+86-531
Jingangshan - Jiangxi,+86-7060
Jingdezhen - Jiangxi,+86-798
Jinhua - Zhejiang,+86-579
Jining - Shandong,+86-537
Jinmen - Hubei,+86-724
Jinsha - Guizhou,+86-8676
Jinxi - Liaoning,+86-429
Jinxian - Jiangxi,+86-791
Jinyuan - Gansu,+86-9467
Jinzhou - Liaoning,+86-416
Jiujiang - Jiangxi,+86-792
Jiuquan - Gansu,+86-937
Jixi - Heilongjiang,+86-4617
Jiyang - Shandong,+86-5448
Jiyuan - Henan,+86-391
Julu - Hebei,+86-3276
Juye - Shandong,+86-5401
Kaifeng - Henan,+86-378
Kaihua - Zhejiang,+86-570
Kaili - Guizhou,+86-855
Kaiyuan - Liaoning,+86-410
Kangdin - Sichuan,+86-836
Kashi - Xinjiang,+86-998
Kelamayi - Xinjiang,+86-990
Kuitun - Xinjiang,+86-992
Kunming - Yunnan,+86-871
Kunshan - Jiangsu,+86-512
Kurle - Xinjiang,+86-996
Lai-yang - Shandong,+86-5427
Laiyang - Hunan,+86-7442
Lankao - Henan,+86-3881
Lanxi - Zhejiang,+86-579
Lanzhou - Gansu,+86-931
Leshan - Sichuan,+86-833
Lhasa - Xizang (Tibet),+86-891
Liancheng - Fujian,+86-597
Liangcheng - Nei Mongol,+86-4848
Lianyungang - Jiangsu,+86-518
Liaoyang - Liaoning,+86-419
Liaoyuan - Jilin,+86-437
Lijiangshi - Yunnan,+86-8891
Lijin - Shandong,+86-5430
Lin-an - Zhejiang,+86-571
Linfen - Shanxi,+86-357
Linhai - Zhejiang,+86-576
Lintong - Shaanxi,+86-29
Linxi - Neimengu,+86-4868
Linyi - Shandong,+86-539
Linzhi - Xizang (Tibet),+86-894
Liujiang - Guangxi,+86-772
Liuyang - Hunan,+86-731
Liuzhou - Guangxi,+86-772
Longquan - Zhejiang,+86-5885
Longxi - Gansu,+86-9421
Luntai - Xinjiang,+86-996
Luoyang - Henan,+86-379
Lushanshi - Jiangxi,+86-792
Ma-anshan - Anhui,+86-555
Machen - Hubei,+86-7232
Mangkang - Xizang,+86-8054
Manzhouli - Nei Mongol,+86-4812
Maomin - Guangdong,+86-7683
Meishan - Sichuan,+86-8425
Meizhou - Guangdong,+86-753
Mianyang - Sichuan,+86-816
Minhou - Fujian,+86-591
Miquan - Xinjiang,+86-9041
Mohe - Heilongjiang,+86-457
Mudanjiang - Heilongjiang,+86-467
Nanchang - Jiangxi,+86-791
Nanfeng - Jiangxi,+86-7048
Nanjing - Jiangsu,+86-25
Nanning - Guangxi,+86-771
Nantong - Jiangsu,+86-513
Nanyang - Henan,+86-377
Nenjiang - Heilongjiang,+86-4665
Ningbo - Zhejiang,+86-574
Ningcheng - Nei Mongol,+86-4862
Ningguo - Anhui,+86-5639
Ninghua - Fujian,+86-598
Nnchong - Sichuan,+86-817
Panzhihua - Sichuan,+86-812
Peilin - Sichuan,+86-810
Penglai - Shandong,+86-5457
Pindinshan - Henan,+86-375
Ping-xiang - Jiangxi,+86-799
Pingliang - Gansu,+86-933
Pingxiang - Guangxi,+86-7815
Pinle - Guangxi,+86-7847
Putian - Fujian,+86-594
Qidong - Jiangsu,+86-5232
Qin-an - Gansu,+86-938
Qingdao - Shandong,+86-532
Qinhuangdao - Hebei,+86-335
Qiongshan - Hainan,+86-898
Qiqihar - Heilongjiang,+86-452
Qitai - Xinjiang,+86-994
Quanzhou - Fujian,+86-595
Qufu - Shandong,+86-5473
Qujiang - Guangdong,+86-751
Renqiu - Hebei,+86-3420
Rikeze - Xizang (Tibet),+86-892
Rongxian - Guangxi,+86-775
Ruijin - Jiangxi,+86-7077
Ruili - Yunnan,+86-8885
Runan - Henan,+86-3013
Sanmen - Zhejiang,+86-576
Sanmenxia - Henan,+86-3891
Sanya - Hainan,+86-898
Shangdu - Nei Mongol,+86-4843
Shanggao - Jiangxi,+86-7051
Shanghai - Shanghai,+86-21
Shangqiu - Henan,+86-370
Shangrao - Jiangxi,+86-793
Shangzhou - Shaanxi,+86-914
Shantou - Guangdong,+86-754
Shaoguan - Guangdong,+86-751
Shaoshan - Hunan,+86-732
Shaoxing - Zhejiang,+86-575
Shaoyang - Hunan,+86-739
Shenmu - Shaanxi,+86-9229
Shenyang - Liaoning,+86-24
Shenzhen - Guangdong,+86-755
Shihezi - Xinjiang,+86-993
Shijiazhuang - Hebei,+86-311
Shimen - Hunan,+86-7462
Shimian - Sichuan,+86-8437
Shishi - Fujian,+86-595
Shiyan - Hubei,+86-719
Shuangcheng - Heilongjiang,+86-4615
Siping - Jilin,+86-434
Sishui - Shandong,+86-5483
Songyuan - Jilin,+86-438
Suifenhe - Heilongjiang,+86-4638
Suzhou - Jiangsu,+86-512
Tacheng - Xinjiang,+86-9003
Tai-an - Shandong,+86-538
Tai-hu - Anhui,+86-556
Taicang - Jiangsu,+86-512
Taiyuan - Shanxi,+86-351
Taizhou - Jiangsu,+86-5241
Tangshan - Hebei,+86-315
Tianjin - Tianjin,+86-22
Tianshui - Gansu,+86-938
Tiantai - Zhejiang,+86-576
Tongchuan - Shaanxi,+86-919
Tongguan - Shaanxi,+86-9233
Tonghua - Jilin,+86-435
Tongliao - Nei Mongol,+86-475
Tongling - Anhui,+86-5612
Tongren - Guizhou,+86-856
Tumen - Jilin,+86-4436
Tuquan - Neimengu,+86-4858
Turufan - Xinjiang,+86-995
Urumqi - Xinjiang,+86-991
Wanxian - Sichuan,+86-819
Weifang - Shandong,+86-536
Weili - Xinjiang,+86-996
Weinan - Shaanxi,+86-913
Wenshan - Yunnan,+86-876
Wenzhou - Zhejiang,+86-577
Wuchuan - Nei Mongol,+86-4817
Wudu - Gansu,+86-939
Wuhai - Nei Mongol,+86-473
Wuhan - Hubei,+86-27
Wuhu - Anhui,+86-553
Wulanhaote - Nei Mongol,+86-4814
Wuwei - Gansu,+86-935
Wuxi - Jiangsu,+86-510
Wuxian - Jiangsu,+86-512
Wuxue - Hubei,+86-7239
Wuyishan - Fujian,+86-599
Wuyuan - Neimengu,+86-4881
Xi-feng - Gansu,+86-934
Xi'an - Shaanxi,+86-29
Xiamen - Fujian,+86-592
Xiangfan - Hubei,+86-710
Xiangtan - Hunan,+86-732
Xianju - Zhejiang,+86-576
Xianyang - Shaanxi,+86-910
Xichang - Sichuan,+86-834
Xifeng - Guizhou,+86-8638
Xin-tai - Shandong,+86-5482
Xingguo - Jiangxi,+86-7073
Xinhui - Guangdong,+86-750
Xining - Qinghai,+86-971
Xinmin - Liaoning,+86-24
Xintai - Hebei,+86-319
Xinxiang - Henan,+86-373
Xinyi - Guizhou,+86-859
Xinyu - Jiangxi,+86-790
Xinyuan - Xinjiang,+86-9096
Xuanhua - Hebei,+86-313
Xuchang - Henan,+86-374
Xuejiawan - Nei Mongol,+86-477
Xuzhou - Jiangsu,+86-516
Ya-an - Sichuan,+86-835
Yan-an - Shaanxi,+86-911
Yancheng - Jiangsu,+86-515
Yangpu - Hainan,+86-890
Yangquan - Shanxi,+86-353
Yangzhou - Jiangsu,+86-514
Yanji - Jilin,+86-433
Yanjin - Henan,+86-3832
Yantai - Shandong,+86-535
Yi-chun - Jiangxi,+86-795
Yi-yang - Hunan,+86-737
Yibin - Sichuan,+86-831
Yichun - Heilongjiang,+86-4652
Yimin - Nei Mongol,+86-4890
Yinchuan - Ningxia,+86-951
Yingkou - Liaoning,+86-417
Yingtan - Jiangxi,+86-7032
Yining - Xinjiang,+86-999
Yishui - Shandong,+86-5492
Yiwu - Zhejiang,+86-579
Yixin - Jiangsu,+86-5218
Yiyang - Jiangxi,+86-7038
Yongchuan - Sichuan,+86-814
Yongfu - Guangxi,+86-7848
Yongxiu - Jiangxi,+86-792
Yu-shu - Jilin,+86-4415
Yuanmou - Yunnan,+86-8869
Yueyang - Hunan,+86-730
Yuhang - Zhejiang,+86-571
Yulin - Shaanxi,+86-912
Yumen - Gansu,+86-9471
Yushu - Qinghai,+86-976
Yuxi - Yunnan,+86-877
Yuyao - Zhejiang,+86-574
Yuzhong - Gansu,+86-9440
Zhangjiagang - Jiangsu,+86-512
Zhangjiakou - Hebei,+86-313
Zhangshu - Jiangxi,+86-7052
Zhangzhou - Fujian,+86-596
Zhanjiang - Guangdong,+86-759
Zhengzhou - Henan,+86-371
Zhenjiang - Jiangsu,+86-511
Zhicheng - Hubei,+86-27
Zhijiang - Hunan,+86-7420
Zhongshan - Guangdong,+86-760
Zhuhai - Guangdong,+86-756
Zhumadian - Henan,+86-3011
Zhunger - Nei Mongol,+86-4873
Zhuzhou - Hunan,+86-733
Zibo - Shandong,+86-533
Zigong - Sichuan,+86-813
Zigui - Hubei,+86-7278
Ziyuan - Guangxi,+86-7852
Zunhua - Hebei,+86-315
Zunyi - Guizhou,+86-852
,Christmas Island does not use city codes.
,Cocos (Kelling) Island does not use city codes.
Armenia,+57-6
Barranquilla,+57-5
Bogota,+57-1
Bucaramanga,+57-7
Cali,+57-2
Cartagena,+57-5
Cucuta,+57-7
Ibague,+57-8
Manizales,+57-6
Medellin,+57-4
Mobile Phones - Comcel,+57-310+57-311+57-312
Mobile Phones - Movistar,+57-315+57-316
Mobile Phones - Ola,+57-300+57-301
Neiva,+57-8
Palmira,+57-2
Pereira,+57-6
Santa Marta,+57-5
Villavicencio,+57-8
,Comoros does not use city codes.
Aitutaki,+682-31+682-32
Atiu,+682-33
Mangaia,+682-34
Manihiki,+682-43
Mauke,+682-35
Mitiaro,+682-36
Nassau,+682-45
Palmerston,+682-37
Penrhyn,+682-42
Pukapuka,+682-41
Rakahanga,+682-44
Rarotonga,+682-2
,Costa Rica does not use city codes.
Bjelovar,+385-43
Cakovec,+385-40
Dubrovnik,+385-20
Gospic,+385-53
Karlovac,+385-47
Koprivnica,+385-48
Krapina,+385-49
Mobile Phones - T-Mobile,+385-98+385-99
Mobile Phones - Tele 2,+385-95
Mobile Phones - VIP,+385-91+385-92
Osijek,+385-31
Pazin,+385-52
Pozega,+385-34
Rijeka,+385-51
Sibenik,+385-22
Sisak,+385-44
Slavonski Brod,+385-35
Split,+385-21
Varazdin,+385-42
Vinkovci,+385-32
Virovitica,+385-33
Zadar,+385-23
Zagreb,+385-1
Abreus,+53-43
Aguacate,+53-64
Aguada de Pasajeros,+53-43
Alquízar,+53-67
Alto Cedro,+53-24
Amancio,+53-31
Antilla,+53-24
Artemisa,+53-63
Baguanos,+53-24
Bahia Honda,+53-86
Banes,+53-24
Baragua,+53-33
Bartle,+53-31
Bartolome Maso,+53-23
Batabanó,+53-62
Batalla de Las Guasimas,+53-32
Bauta,+53-680
Bayamo,+53-23
Bejucal,+53-66
Biran,+53-24
Boca de Jaruco,+53-6929
Bolivia,+53-33
Brasil,+53-32
Buey Arriba,+53-23
Cabañas,+53-63
Cacocum,+53-24
Caimito del Guayabal,+53-680
Calimete,+53-5
Calixto Garcia,+53-24
Camagüey,+53-32
Camalote,+53-32
Camarioca,+53-5
Camilo Cienfuegos,+53-692
Camino,+53-61
Campechuela,+53-23
Canasí,+53-6929
Candelaria,+53-85
Candido Gonzalez,+53-32
Cárdenas,+53-45
Cascorro,+53-32
Catalina de Güines,+53-62
Cauto Cristo,+53-23
Cayo Coco,+53-33
Cayo Largo,+53-5
Ceba Mocha,+53-5
Ceballos,+53-33
Ceiba Nuevo,+53-680
Cespedes,+53-32
Chambas,+53-33
Chile,+53-22
Cidra,+53-5
Ciego de Ávila,+53-33
Ciénaga de Zapata,+53-59
Cienfuegos,+53-432
Ciro Redondo,+53-33
Colombia,+53-31
Colón,+53-5
Communidad Pueblo Nuevo,+53-32
Consolación del Sur,+53-8
Contramaestre,+53-22
Cortés,+53-84
Cristino Naranjo,+53-24
Cueto,+53-24
Delicias,+53-315
Dos Caminos de San Luis,+53-22
El Cobre,+53-22
El Cristo,+53-22
Enrique Varona,+53-33
Entronque de Herradura,+53-8
Esmeralda,+53-32
Felton,+53-24
Florencia,+53-33
Florida,+53-32
Floro Perez,+53-24
Frank Pais,+53-24
Gaspar,+53-33
Gibara,+53-24
Gramma,+53-23
Guaimaro,+53-32
Guanajay,+53-686
Guane,+53-84
Guantánamo,+53-21
Guardalavaca,+53-24
Guaro,+53-24
Guatemala,+53-24
Guayabal,+53-31
Guayacanas,+53-33
Güines,+53-62
Güira de Melena,+53-67
Guisa,+53-23
Haiti,+53-32
Havana (Ciudad La Habana),+53-7
Holguín,+53-24
Imias,+53-32
Isabel Rubio,+53-84
Isla de la Juventud,+53-61
Jagüey Grande,+53-59
Jaruco,+53-64
Jiguani,+53-23
Jimaguayu,+53-32
Jobabo,+53-31
Jovellanos,+53-5
Jucaro,+53-33
Julio Antonio Mella,+53-225
La Boca,+53-31
La Coloma,+53-8
La Demajagua,+53-61
La Fé,+53-61
La Jagua,+53-32
La Palma,+53-8
La Reforma,+53-61
La Salud,+53-66
La Victoria,+53-61
Las Martinas,+53-84
Las Mercedes,+53-23
Las Ovas,+53-8
Las Parras,+53-31
Las Tunas,+53-31
Limonar,+53-5
Lopez Peña,+53-85
Los Angeles,+53-32
Los Palacios,+53-8
Los Reynaldos,+53-22
Lugareño,+53-32
Mabay,+53-23
Maceo,+53-24
Madruga,+53-64
Majagua,+53-33
Majibacoa,+53-31
Manati,+53-31
Mangos de Baragua,+53-225
Mantua,+53-84
Manzanillo,+53-23
Marcane,+53-24
Marea de Portillo,+53-23
Mariel,+53-63
Martí,+53-5
Matanzas,+53-52
Maximo Gomez,+53-5+53-33
Mayari,+53-24
Media Luna,+53-23
Melena del Sur,+53-62
Menendez,+53-31
Minas,+53-32
Minas de Matahumbre,+53-8
Mir,+53-24
Miraflores,+53-338
Moa,+53-24
MOBILE PHONES,+53-789
Moron,+53-335
Najasa,+53-32
Neuvitas,+53-32
Nicaragua,+53-32
Nicaro-Levisa,+53-24
Niquero,+53-23
Nueva,+53-62
Nueva Gerona,+53-61
Nueva Paz,+53-62
Omaja,+53-31
Orlando Gonzalez,+53-33
Pablo de Torriente,+53-86
Palma Soriano,+53-225
Pedro Betancourt,+53-5
Peralejo,+53-23
Pilon,+53-23
Pinar del Río,+53-82
Playa Baracoa,+53-680
Playa Garón,+53-5
Playa Santa Lucia,+53-32
Primero de Enero,+53-33
Puerto Esperanza,+53-8
Puerto Marti,+53-31
Puerto Padre,+53-31
Quivicán,+53-67
Rafael Freyre,+53-24
Rio Cauto,+53-23
Rodolfo Ramirez Esquivel,+53-32
Ruta Invasora,+53-33
Sábalo,+53-84
Sagua de Tanamo,+53-24
San Andres,+53-24
San Antonio,+53-32+53-64+53-650
San Antonio de Las Vegas,+53-64
San Antonio de Los Baños,+53-650
San Jose de Las Lajas,+53-64
San Juan y Martínez,+53-8
San Luis,+53-8
San Nicolás de Bari,+53-62
Sancti Spiritus,+53-41
Sanguili,+53-33
Santa Cruz del Norte,+53-692
Santa Cruz del Sur,+53-32
Santiago de Cuba,+53-226
Sibanicu,+53-32
Siboney,+53-32
Silvio Caro,+53-63
Sola,+53-32
Tacajo,+53-24
Tamarindo,+53-33
Tapaste,+53-64
Unión de Reyes,+53-5
Urbano Noris,+53-24
Varadero,+53-5
Vasquez,+53-31
Velasco,+53-24
Venezuela,+53-33
Vertientes,+53-32
Villa Clara,+53-42
Viñales,+53-8
Yado del Yeso,+53-23
Yara,+53-23
Yarual,+53-338
